,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,onmousedown,snippet,source,sponsored,state,stations,url
21,Phoenix,Ljk Companies Inc,US,"Sat, 13 Jan 2018 18:55:08 GMT",False,"Phoenix, AZ","Phoenix, AZ",18 hours ago,False,e4eff429ddfe1e79,Web Developer,en,"indeed_clk(this,'5635');","3+ years in PHP, <b>Python</b>, Javascript, HTML5. The primary skills for this position are PHP, <b>Python</b>, and Javascript. Web Application Developer....",Ljk Companies Inc,False,AZ,,http://www.indeed.com/viewjob?jk=e4eff429ddfe1e79&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
22,Phoenix,Kudelski SA,US,"Wed, 20 Dec 2017 21:07:43 GMT",False,"Phoenix, AZ","Phoenix, AZ",24 days ago,False,81361550f656a774,Software Engineer,en,"indeed_clk(this,'5635');","Experience in development <b>Python</b>, Java/J2EE, JavaScript. About Kudelski Security:....",Kudelski SA,False,AZ,,http://www.indeed.com/viewjob?jk=81361550f656a774&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
23,Scottsdale,Nextiva,US,"Wed, 13 Dec 2017 09:30:35 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",30+ days ago,False,018ba3c02fe4d555,Senior Software Engineer - Python,en,"indeed_clk(this,'5635');",You will be involved with every part of the stack – you should know how they work together and what role everything from the Linux kernel to the <b>Python</b>...,Nextiva,False,AZ,,http://www.indeed.com/viewjob?jk=018ba3c02fe4d555&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
24,Phoenix,Carvana,US,"Fri, 05 Jan 2018 20:25:52 GMT",False,"Phoenix, AZ","Phoenix, AZ",8 days ago,True,0cc553bb61065e75,Ops Analytics Intern,en,"indeed_clk(this,'5635');","You will learn various business intelligence related tools and concepts such as Tableau, SQL (through MS SQL Server), relational database design, SQL Server...",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=0cc553bb61065e75&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
25,Phoenix,Bishop Fox,US,"Tue, 17 Oct 2017 06:22:22 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,1e29cd75c1e5c108,Pentester,en,"indeed_clk(this,'5803');","Scripting/programming skills (e.g., <b>Python</b>, Ruby, Java, JS, etc.). Shall we play a game?...",Bishop Fox,False,AZ,,http://www.indeed.com/viewjob?jk=1e29cd75c1e5c108&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
26,Phoenix,REPAY,US,"Mon, 04 Dec 2017 22:19:04 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,e63fa908c6ee35e4,Lead - Full Stack Developer (Python),en,"indeed_clk(this,'5803');","Experience working with <b>Python</b> (3.x) Django and/or Pyramid. REPAY – Realtime Electronic Payments is an established and fast growing, Financial Technology...",Repay,False,AZ,,http://www.indeed.com/viewjob?jk=e63fa908c6ee35e4&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
27,Scottsdale,Zero Mass Water,US,"Tue, 02 Jan 2018 21:11:19 GMT",False,"Scottsdale, AZ","Scottsdale, AZ 85257",11 days ago,True,c6566a0324fc63ee,Senior DevOps Engineer,en,"indeed_clk(this,'5803');","Strong <b>Python</b> programming skills. Zero Mass, an Arizona-based company developing water-from-air drinking water systems, is seeking a Senior DevOps Engineer to...",Indeed,False,AZ,,http://www.indeed.com/viewjob?jk=c6566a0324fc63ee&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
28,Phoenix,ZTEK Consulting Inc,US,"Fri, 12 Jan 2018 13:44:58 GMT",False,"Phoenix, AZ","Phoenix, AZ",2 days ago,True,79fd35ce9aca89aa,Big Data Developer,en,"indeed_clk(this,'5803');",*Job Summary* *Job Title: Big Data Developer* *Location: Austin – TX* *Type of hire: Full time* Job Description : 5+ 5 years of recent experience as a...,Indeed,False,AZ,,http://www.indeed.com/viewjob?jk=79fd35ce9aca89aa&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
29,Phoenix,Goodwill of Central Arizona,US,"Thu, 28 Sep 2017 00:52:34 GMT",False,"Phoenix, AZ","Phoenix, AZ 85021",30+ days ago,False,8dc26b4c225ce13d,IT Programmer Analyst,en,"indeed_clk(this,'5803');",W/programming language <b>Python</b> (optional) and PHP 5.6+ Familiar. IT Programmer Analyst....,Goodwill of Central Arizona,False,AZ,,http://www.indeed.com/viewjob?jk=8dc26b4c225ce13d&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
30,Scottsdale,Discount Tire Corporate Careers,US,"Fri, 29 Dec 2017 17:13:21 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",15 days ago,False,1c2078afa37d306d,Data Engineer II,en,"indeed_clk(this,'5803');","Scripting knowledge with SQL, <b>Python</b>, Java or R is necessary. The Business Intelligence Department is looking to add a Data Engineer II to their current team....",DISCOUNT TIRE,False,AZ,,http://www.indeed.com/viewjob?jk=1c2078afa37d306d&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
31,Scottsdale,Trax Technologies,US,"Sat, 13 Jan 2018 09:14:26 GMT",False,"Scottsdale, AZ","Scottsdale, AZ 85260",1 day ago,True,862af0cf1b939359,Data Scientist,en,"indeed_clk(this,'5803');","Extensive experience with analysis tools and packages (statistics/math/visualization) – SQL, R, <b>Python</b>. Trax Technologies provides cloud-based solutions and...",Trax Technologies,False,AZ,,http://www.indeed.com/viewjob?jk=862af0cf1b939359&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
32,Phoenix,ViaSat,US,"Sat, 14 Oct 2017 05:49:01 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,False,ae3ce0690b7005ad,Network Data Center Analyst,en,"indeed_clk(this,'5803');","Familiarity with DevOps, ability to consume APIs using scripting languages like <b>Python</b> or Ruby, and network automation using tools like Ansible or Git....",ViaSat,False,AZ,,http://www.indeed.com/viewjob?jk=ae3ce0690b7005ad&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
33,Phoenix,TrustCor,US,"Sun, 26 Nov 2017 11:26:52 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,7a6ee08bf7b58413,Senior Platform Developer,en,"indeed_clk(this,'5803');",<b>Python</b> 2.7 and 3. Privacy-focused company providing email and communication applications for web and mobile....,TrustCor,False,AZ,,http://www.indeed.com/viewjob?jk=7a6ee08bf7b58413&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
